title,description,category,published_at,sentiment_score,label,category_encoded,title_length,description_length,hour,day_of_week
"Shibarium TVL surges: Impact on Shiba Inu’s burn rate, SHIB’s price - AMBCrypto News","Shibarium’s Total Value Locked (TVL) hits a record $4.72 million, reflecting growing adoption in the ecosystem.",business,2024-11-24 04:04:10+00:00,0.0,1,0,84,111,4,6
"AVAX jumps 100%! Will Avalanche hit $60 now, or is a pullback here? - AMBCrypto News","Avalanche surges 100% after key breakout. Can it sustain momentum and hit $60, or is a pullback coming?",business,2024-11-24 00:04:07+00:00,0.0,1,0,84,103,0,6
Anxiety drug Clonazepam recalled for mislabeling; could cause a 'life-threatening' event - USA TODAY,"Clonazepam, an anxiety drug, is being voluntarily recalled for the potential to cause a “life-threatening” event.",business,2024-11-23 22:12:38+00:00,0.0,1,0,100,113,22,5
DOJ tells Google to sell Chrome - TechCrunch,"Welcome back to Week in Review. This week, we’re exploring the DOJ telling Google to sell off Chrome to break up its monopoly, OpenAI accidentally",business,2024-11-23 21:17:00+00:00,0.4,2,0,44,146,21,5
Michael Saylor Reveals MicroStrategy Is 'Making $500M A Day' With Bitcoin - Yahoo Finance,MicroStrategy Inc. (NASDAQ:MSTR) co-founder Michael Saylor has revealed that the company is minting $500 million a day as Bitcoin (CRYPTO: BTC) inches closer...,business,2024-11-23 21:00:31+00:00,0.0,1,0,89,160,21,5
Listeria outbreak: Recall issued as US says infant died - BBC.com,"The listeria outbreak, linked to ready-to-eat meat, is known to have sickened 11 people.",business,2024-11-23 20:16:11+00:00,0.0,1,0,65,88,20,5
Bluesky Overtakes Threads as Liberals Flee MAGA Trolls on X - The Daily Beast,"Prior to Nov. 5, Threads had five times more daily US users than Bluesky.",business,2024-11-23 20:09:00+00:00,0.16666666666666666,2,0,77,73,20,5
"Jaguar asks people to ""trust and reserve judgement"" on rebrand - BBC.com","The iconic carmaker's rebrand has certainly caught people's attention, but will it pay off?",business,2024-11-23 19:34:01+00:00,0.35714285714285715,2,0,72,91,19,5
Another SEC Departure: Commissioner Lizárraga To Step Down In January - Bitcoinist,"Commissioner Jaime Lizárraga of the Securities and Exchange Commission will step down on January 17th, three days before incoming US President Donald Trump’s",business,2024-11-23 19:00:39+00:00,-0.15555555555555556,0,0,82,157,19,5
Trump and GOP eye new limits on Consumer Financial Protection Bureau - The Washington Post,President-elect Donald Trump and Republicans in Congress are weighing vast changes to the CFPB that could limit its powers and funding.,business,2024-11-23 19:00:00+00:00,0.0,1,0,90,135,19,5
The McRib is returning for the holidays. Why isn’t it sold year-round? - CNN,The McRib and Nacho Fries disappear and reappear with no seeming pattern. Experts say that’s by design.,business,2024-11-23 18:00:00+00:00,0.0,1,0,76,103,18,5
"Walmart Black Friday 2024 deals: The best sales from Apple, Ninja, Dyson and more - Yahoo Life","Major markdowns include an HP laptop for $199, a bestselling Sark vac for $97 and Airpods for $40 off.",business,2024-11-23 17:03:43+00:00,0.0625,1,0,94,102,17,5
"McDonald's announces 'new year, new menu' for 2025 - KARE11.com",The McValue menu will include its $5 meal deal and some new ways to save.,business,2024-11-23 17:01:03+00:00,0.13636363636363635,2,0,63,73,17,5
Traveling during the holidays can be stressful. These tips can make it a little easier - The Associated Press,"Travel, especially during the holiday season, can be stressful. But following some tips from the pros as you prepare for a trip can make for a smoother, less anxious experience. One expert traveler suggests making a list a week before you go of things you nee…",business,2024-11-23 15:55:00+00:00,-0.10416666666666666,0,0,109,260,15,5
